Stock,Amt_Invstd,ActualPrice_1May,Shares,ActualPrice_1Oct,ActualValue,PredPrice_1Oct,PredValue
MARUTI,18179.73,12125.76,1.4992653709610153,15965.0,23935.77,15705.31,23546.42
EICHERMOT,21980.98,5495.74,3.9996397937253203,7021.5,28083.47,7017.37,28066.95
SBIN,4574.39,773.13,5.916751474846804,864.1,5112.66,855.65,5062.7
UPL,846.31,663.83,1.2748936317339714,661.45,843.28,653.28,832.86
NESTLEIND,6001.94,1189.1,5.0474616120297995,1166.4,5887.36,1158.92,5849.62
APOLLOHOSP,21727.31,6968.08,3.1181196983709536,7441.0,23201.93,7377.98,23005.41
HINDALCO,397.91,620.1,0.6416808118932881,765.95,491.5,743.73,477.24
JSWSTEEL,2487.2,1027.03,2.4217308639950623,1146.1,2775.55,1107.14,2681.2
IOC,614.41,134.94,4.553163944016485,149.7,681.61,149.79,682.02
SUNPHARMA,23189.83,1826.29,12.697792137305608,1636.2,20776.13,1597.0,20278.33
TOTAL,100000.0,,,,111789.25,,110482.76
