Stock,Amt_Invstd,ActualPrice_1May,Shares,ActualPrice_1Oct,ActualValue,PredPrice_1Oct,PredValue
MARUTI,13165.3,12125.76,1.0857301067690943,15965.0,17333.68,15705.31,17051.72
EICHERMOT,3424.48,5495.74,0.6231158645129312,7021.5,4375.21,7017.37,4372.63
SBIN,3187.26,773.13,4.122565759220071,864.1,3562.31,855.65,3527.49
UPL,1196.61,663.83,1.8025950347648234,661.45,1192.33,653.28,1177.59
NESTLEIND,21727.05,1189.1,18.27183561547532,1166.4,21312.27,1158.92,21175.66
APOLLOHOSP,24201.02,6968.08,3.473125900706021,7441.0,25843.53,7377.98,25624.64
HINDALCO,2954.06,620.1,4.7638302041045515,765.95,3648.86,743.73,3543.01
JSWSTEEL,5442.16,1027.03,5.298911270456205,1146.1,6073.08,1107.14,5866.65
IOC,2294.68,134.94,17.005135436623572,149.7,2545.67,149.79,2547.21
SUNPHARMA,22407.37,1826.29,12.269348387473082,1636.2,20075.11,1597.0,19594.11
TOTAL,100000.0,,,,105962.04,,104480.74
