Sector,Stock,Date,CNN,LSTM,Hybrid,Transformer
Auto,BAJAJ-AUTO,07-11-2025,8734.6396484375,8852.16015625,8726.26953125,6372.85986328125
Auto,BAJAJ-AUTO,10-11-2025,8733.1796875,8854.3203125,8869.240234375,6380.759765625
Auto,BAJAJ-AUTO,11-11-2025,8856.1904296875,8703.1904296875,8773.0498046875,6387.8701171875
Auto,BAJAJ-AUTO,12-11-2025,8983.0498046875,9131.2099609375,8802.1201171875,6395.0498046875
Auto,BAJAJ-AUTO,13-11-2025,8815.919921875,8729.6298828125,8807.669921875,6401.3798828125
Auto,EICHERMOT,07-11-2025,6774.490234375,6509.8798828125,6914.1298828125,3744.860107421875
Auto,EICHERMOT,10-11-2025,6870.009765625,6518.919921875,6842.35986328125,3746.820068359375
Auto,EICHERMOT,11-11-2025,6910.919921875,6625.72998046875,6801.64013671875,3749.2099609375
Auto,EICHERMOT,12-11-2025,6783.3798828125,6515.259765625,6773.6201171875,3751.8701171875
Auto,EICHERMOT,13-11-2025,6781.60009765625,6574.18017578125,6834.2900390625,3754.10009765625
Auto,M&M,07-11-2025,3519.429931640625,3259.419921875,3409.5400390625,1798.8900146484375
Auto,M&M,10-11-2025,3496.31005859375,3247.22998046875,3417.739990234375,1800.8699951171875
Auto,M&M,11-11-2025,3534.469970703125,3265.530029296875,3334.7900390625,1803.3699951171875
Auto,M&M,12-11-2025,3465.739990234375,3262.330078125,3355.550048828125,1805.1600341796875
Auto,M&M,13-11-2025,3523.72998046875,3202.110107421875,3364.300048828125,1807.5999755859375
Auto,MARUTI,07-11-2025,15871.240234375,14868.849609375,14789.099609375,10047.66015625
Auto,MARUTI,10-11-2025,15720.73046875,14937.48046875,14829.580078125,10050.419921875
Auto,MARUTI,11-11-2025,15780.6103515625,14861.91015625,14850.650390625,10053.3095703125
Auto,MARUTI,12-11-2025,15911.4697265625,14816.2001953125,14761.0,10056.1103515625
Auto,MARUTI,13-11-2025,15861.669921875,14932.5595703125,14950.990234375,10059.419921875
Auto,TATAMOTORS,07-11-2025,409.82000732421875,433.75,405.3999938964844,678.7100219726562
Auto,TATAMOTORS,10-11-2025,416.4800109863281,430.0899963378906,412.9100036621094,679.1099853515625
Auto,TATAMOTORS,11-11-2025,418.1300048828125,430.0199890136719,422.7300109863281,679.530029296875
Auto,TATAMOTORS,12-11-2025,416.5299987792969,436.7200012207031,421.44000244140625,679.9199829101562
Auto,TATAMOTORS,13-11-2025,420.9100036621094,430.42999267578125,430.05999755859375,680.3599853515625
Chemicals,PIDILITIND,07-11-2025,1460.8699951171875,1460.02001953125,1469.0400390625,1319.030029296875
Chemicals,PIDILITIND,10-11-2025,1458.9000244140625,1463.81005859375,1467.1800537109375,1319.3399658203125
Chemicals,PIDILITIND,11-11-2025,1459.06005859375,1455.780029296875,1467.3199462890625,1319.760009765625
Chemicals,PIDILITIND,12-11-2025,1463.5699462890625,1461.02001953125,1470.81005859375,1320.010009765625
Chemicals,PIDILITIND,13-11-2025,1464.06005859375,1458.6300048828125,1467.8499755859375,1320.280029296875
Chemicals,PIIND,07-11-2025,3623.219970703125,3576.860107421875,3584.47998046875,3553.300048828125
Chemicals,PIIND,10-11-2025,3613.5400390625,3568.199951171875,3574.760009765625,3554.530029296875
Chemicals,PIIND,11-11-2025,3607.510009765625,3570.429931640625,3581.159912109375,3555.81005859375
