Sector,Stock,Best_by_RMSE,Best_by_RMSE/Mean,CNN_RMSE,CNN_MAE,CNN_RMSE/Mean,Hybrid_RMSE,Hybrid_MAE,Hybrid_RMSE/Mean,LSTM_RMSE,LSTM_MAE,LSTM_RMSE/Mean,Transformer_RMSE,Transformer_MAE,Transformer_RMSE/Mean
Auto,BAJAJ-AUTO,Hybrid,Hybrid,271.676,211.813,0.0315,250.065,189.762,0.029,321.753,249.624,0.0373,2257.114,2228.547,0.262
Auto,EICHERMOT,Hybrid,Hybrid,249.843,190.604,0.0411,220.928,171.101,0.0364,349.388,282.456,0.0575,2426.058,2327.55,0.3992
Auto,M&M,CNN,CNN,112.442,84.348,0.034,173.305,141.193,0.0523,240.95,202.663,0.0728,1522.234,1508.144,0.4597
Auto,MARUTI,CNN,CNN,509.082,360.415,0.0365,963.865,744.587,0.0691,917.296,702.606,0.0657,4244.184,3900.93,0.3041
Auto,TATAMOTORS,Hybrid,Hybrid,76.804,37.008,0.1182,71.578,35.387,0.1101,73.149,38.572,0.1126,103.206,52.147,0.1588
Chemicals,PIDILITIND,Hybrid,Hybrid,34.157,27.258,0.0227,32.673,26.315,0.0217,38.258,30.856,0.0254,190.792,187.955,0.1265
Chemicals,PIIND,CNN,CNN,124.18,92.999,0.0322,141.677,112.046,0.0367,141.477,110.421,0.0367,381.404,308.495,0.0989
Chemicals,SOLARINDS,CNN,CNN,731.273,563.845,0.0486,754.638,588.752,0.0501,1454.838,1190.911,0.0966,8522.427,8437.773,0.5661
Chemicals,SRF,CNN,CNN,142.76,112.205,0.0473,155.931,128.508,0.0516,167.256,138.144,0.0554,679.651,668.299,0.225
Chemicals,UPL,LSTM,LSTM,23.131,17.28,0.034,29.616,23.044,0.0436,23.065,18.025,0.0339,119.728,115.498,0.1761
FMCG,BRITANNIA,LSTM,LSTM,205.305,161.344,0.0357,170.507,130.736,0.0296,162.481,127.353,0.0282,979.222,950.747,0.1701
FMCG,HINDUNILVR,CNN,CNN,66.901,49.542,0.0272,80.151,59.771,0.0325,89.545,68.05,0.0364,208.04,178.062,0.0845
FMCG,ITC,LSTM,LSTM,6.575,5.332,0.0159,6.622,5.328,0.016,6.492,5.215,0.0157,28.514,27.632,0.0691
FMCG,NESTLEIND,Hybrid,Hybrid,39.332,29.709,0.033,39.026,29.535,0.0327,41.305,31.742,0.0347,119.633,110.726,0.1004
FMCG,TATACONSUM,CNN,CNN,22.308,18.103,0.0202,22.771,18.46,0.0206,23.976,20.145,0.0217,208.136,205.333,0.1884
Healthcare,APOLLOHOSP,CNN,CNN,257.424,196.103,0.0344,263.992,204.359,0.0353,299.091,235.91,0.04,2126.674,2098.989,0.2842
Healthcare,CIPLA,LSTM,LSTM,44.372,33.074,0.0291,41.122,30.943,0.027,40.469,30.494,0.0265,360.02,357.222,0.236
Healthcare,DIVISLAB,CNN,CNN,244.763,176.63,0.0383,248.034,192.099,0.0388,254.019,187.47,0.0397,2604.918,2584.836,0.4071
Healthcare,MAXHEALTH,Hybrid,Hybrid,45.038,36.231,0.0375,39.414,31.405,0.0328,41.202,33.167,0.0343,529.869,527.295,0.4413
Healthcare,SUNPHARMA,CNN,CNN,33.87,26.844,0.0205,37.007,26.117,0.0224,36.068,26.478,0.0218,383.395,381.459,0.2319
IT,HCLTECH,Hybrid,CNN,53.351,42.18,0.0349,53.295,41.453,0.0349,56.677,45.515,0.0371,288.081,271.114,0.1885
IT,INFY,CNN,CNN,43.269,35.506,0.0288,47.978,40.47,0.0319,47.301,39.795,0.0314,110.111,92.323,0.0732
IT,TCS,Hybrid,Hybrid,105.626,80.103,0.0335,86.444,64.561,0.0274,87.313,66.466,0.0277,335.638,289.611,0.1063
IT,TECHM,CNN,CNN,53.016,41.522,0.0351,58.637,47.617,0.0389,54.908,41.766,0.0364,336.45,328.352,0.223
IT,WIPRO,CNN,CNN,6.327,5.221,0.0253,6.531,5.373,0.0262,6.713,5.561,0.0269,36.254,35.514,0.1452
Media,NAZARA,CNN,CNN,17.757,13.255,0.0579,23.781,19.48,0.0775,28.006,22.393,0.0912,131.634,127.575,0.4289
Media,PVRINOX,CNN,CNN,46.231,38.239,0.0436,75.577,66.581,0.0712,63.248,54.067,0.0596,95.497,75.767,0.09
Media,SAREGAMA,CNN,CNN,13.926,10.488,0.0283,22.213,17.395,0.0452,15.548,13.222,0.0316,98.026,93.515,0.1993
Media,SUNTV,Hybrid,Hybrid,16.663,13.566,0.029,15.765,12.32,0.0274,17.697,14.233,0.0308,26.062,18.87,0.0453
Media,ZEEL,LSTM,LSTM,7.073,5.3,0.0586,6.625,5.188,0.0548,6.447,4.536,0.0534,16.518,12.589,0.1367
Metal,ADANIENT,Hybrid,Hybrid,107.598,83.549,0.0434,101.141,77.167,0.0408,115.029,94.169,0.0464,206.628,180.584,0.0833
Metal,HINDALCO,CNN,CNN,33.15,25.779,0.0465,37.655,29.78,0.0528,43.776,34.524,0.0614,206.123,197.971,0.2892
Metal,JSWSTEEL,CNN,CNN,30.084,23.84,0.0281,35.33,28.869,0.033,35.011,28.554,0.0327,281.562,274.628,0.2629
Metal,TATASTEEL,Hybrid,Hybrid,7.437,5.974,0.0454,6.16,4.739,0.0376,6.321,4.934,0.0386,39.957,39.121,0.2438
Metal,VEDL,CNN,CNN,14.321,11.491,0.0322,20.763,16.182,0.0467,17.236,13.833,0.0388,176.166,174.326,0.3965
OilGas,BPCL,Hybrid,Hybrid,11.959,8.965,0.0373,10.782,8.068,0.0337,15.905,12.534,0.0497,109.396,108.545,0.3416
OilGas,GAIL,CNN,CNN,4.792,3.851,0.0265,4.955,3.916,0.0274,4.878,3.881,0.0269,43.08,42.6,0.2379
OilGas,IOC,Hybrid,Hybrid,5.639,4.195,0.0388,4.43,3.243,0.0305,5.397,4.047,0.0371,37.148,36.489,0.2554
OilGas,ONGC,CNN,CNN,5.178,4.28,0.0215,5.328,4.401,0.0221,5.397,4.384,0.0224,44.872,44.424,0.1859
OilGas,RELIANCE,Hybrid,Hybrid,51.101,40.336,0.0359,35.66,28.472,0.0251,40.371,33.14,0.0284,193.69,187.76,0.1362
Pharma,CIPLA,LSTM,LSTM,42.588,31.596,0.0279,41.944,30.963,0.0275,41.092,31.205,0.0269,360.396,357.601,0.2362
Pharma,DIVISLAB,Hybrid,Hybrid,247.954,180.756,0.0388,238.674,174.962,0.0373,287.518,227.274,0.0449,2598.15,2578.015,0.4061
