Sector,Stock,Model,MSE,RMSE,MAE,RMSE/MEAN,DirectionalAcc,MAPE
Auto,BAJAJ-AUTO,CNN,59571.48,244.07,179.61,0.03,50.63,2.07
Auto,BAJAJ-AUTO,LSTM,79782.34,282.46,203.79,0.03,50.0,2.34
Auto,BAJAJ-AUTO,HYBRID,56399.67,237.49,169.05,0.03,50.21,1.95
Auto,EICHERMOT,CNN,18062.63,134.4,108.09,0.03,48.1,2.14
Auto,EICHERMOT,LSTM,15518.21,124.57,98.53,0.02,46.41,2.03
Auto,EICHERMOT,HYBRID,12391.11,111.32,86.96,0.02,49.37,1.77
Auto,M&M,CNN,9158.81,95.7,77.15,0.03,50.84,2.75
Auto,M&M,LSTM,8088.58,89.94,69.25,0.03,49.79,2.61
Auto,M&M,HYBRID,6356.51,79.73,62.27,0.03,47.47,2.3
Auto,MARUTI,CNN,72852.27,269.91,201.34,0.02,48.1,1.61
Auto,MARUTI,LSTM,79065.91,281.19,207.57,0.02,47.89,1.7
Auto,MARUTI,HYBRID,65312.73,255.56,188.94,0.02,49.37,1.52
Auto,TATAMOTORS,CNN,1163.88,34.12,25.44,0.04,49.79,3.59
Auto,TATAMOTORS,LSTM,1250.42,35.36,23.1,0.04,50.21,3.1
Auto,TATAMOTORS,HYBRID,925.77,30.43,19.65,0.04,51.05,2.67
Bank,AXISBANK,CNN,479.42,21.9,16.55,0.02,50.21,1.47
Bank,AXISBANK,LSTM,598.75,24.47,17.23,0.02,46.2,1.52
Bank,AXISBANK,HYBRID,459.47,21.44,15.16,0.02,46.84,1.34
Bank,HDFCBANK,CNN,335.55,18.32,13.95,0.02,48.73,1.64
Bank,HDFCBANK,LSTM,377.12,19.42,12.88,0.02,50.42,1.58
Bank,HDFCBANK,HYBRID,236.36,15.37,10.73,0.02,50.63,1.29
Bank,ICICIBANK,CNN,645.11,25.4,20.42,0.02,45.57,1.63
Bank,ICICIBANK,LSTM,526.75,22.95,17.5,0.02,47.47,1.43
Bank,ICICIBANK,HYBRID,416.76,20.41,15.67,0.02,46.41,1.27
Bank,KOTAKBANK,CNN,1278.24,35.75,25.86,0.02,48.31,1.36
Bank,KOTAKBANK,LSTM,1400.62,37.42,27.12,0.02,51.48,1.44
Bank,KOTAKBANK,HYBRID,1280.31,35.78,25.59,0.02,50.0,1.35
Bank,SBIN,CNN,312.75,17.68,13.79,0.02,49.58,1.76
Bank,SBIN,LSTM,363.77,19.07,13.54,0.02,50.63,1.79
Bank,SBIN,HYBRID,277.04,16.64,12.18,0.02,52.95,1.59
Chemicals,PIDILITIND,CNN,634.72,25.19,19.66,0.02,49.16,1.34
Chemicals,PIDILITIND,LSTM,749.98,27.39,20.5,0.02,50.42,1.4
Chemicals,PIDILITIND,HYBRID,571.5,23.91,18.18,0.02,51.9,1.24
Chemicals,PIIND,CNN,8903.33,94.36,67.8,0.02,47.89,1.8
Chemicals,PIIND,LSTM,11026.55,105.01,73.69,0.03,47.68,1.96
Chemicals,PIIND,HYBRID,9487.16,97.4,67.69,0.03,47.47,1.79
Chemicals,SOLARINDS,CNN,220698.95,469.79,355.24,0.04,48.73,3.09
Chemicals,SOLARINDS,LSTM,192590.23,438.85,328.41,0.04,50.84,3.04
Chemicals,SOLARINDS,HYBRID,162194.59,402.73,296.15,0.04,49.16,2.69
Chemicals,SRF,CNN,3905.3,62.49,46.56,0.02,49.37,1.75
Chemicals,SRF,LSTM,3915.35,62.57,45.05,0.02,48.73,1.71
Chemicals,SRF,HYBRID,3621.71,60.18,43.94,0.02,48.73,1.66
Chemicals,UPL,CNN,257.7,16.05,12.53,0.03,52.32,2.13
Chemicals,UPL,LSTM,254.74,15.96,12.49,0.03,50.21,2.18
Chemicals,UPL,HYBRID,212.48,14.58,11.11,0.02,51.69,1.93
FMCG,BRITANNIA,CNN,11367.17,106.62,79.62,0.02,50.84,1.49
FMCG,BRITANNIA,LSTM,11647.7,107.92,76.32,0.02,47.47,1.44
FMCG,BRITANNIA,HYBRID,9763.04,98.81,72.19,0.02,49.58,1.36
FMCG,HINDUNILVR,CNN,1762.84,41.99,30.88,0.02,50.21,1.27
FMCG,HINDUNILVR,LSTM,2265.34,47.6,33.41,0.02,47.68,1.38
FMCG,HINDUNILVR,HYBRID,1683.66,41.03,29.48,0.02,50.42,1.22
FMCG,ITC,CNN,47.79,6.91,5.19,0.02,46.62,1.21
FMCG,ITC,LSTM,58.98,7.68,5.54,0.02,45.99,1.29
FMCG,ITC,HYBRID,43.71,6.61,4.81,0.02,49.79,1.12
